[SOMMET]
0	DEPART	769	543	null	true	T1	0
4	Vert	543	83	CO	false	J1	2
8	Vert	370	115	AL	false	J2	3
2	Vert	506	273	NR	false	J1	4
3	Vert	691	71	FE	false	J2	5
6	Vert	262	175	NR	false	J1	6
6	Bleu	409	428	NR	false	J2	7
8	Bleu	673	299	AG	false	J2	8
5	Rouge	113	322	NR	false	J1	9
3	Rouge	245	354	AU	false	J2	10
1	Rouge	289	478	FE	false	J1	11
2	Gris	784	322	AL	false	J1	12
3	Bleu	367	657	TI	false	J1	13
4	Bleu	533	543	FE	false	J1	14
2	Bleu	672	469	AG	false	J2	15
4	Gris	783	103	TI	false	J2	16
3	Jaune	956	146	AL	false	J1	17
4	Rouge	126	509	NR	false	J2	18
2	Rouge	178	621	NR	false	J2	19
2	Marron	551	685	AU	false	J2	20
0	Gris	888	314	AU	false	J1	21
1	Jaune	1194	498	NI	false	J1	22
4	Jaune	1080	318	NR	false	J2	23
5	Marron	248	736	AG	false	J2	24
3	Marron	362	824	CO	false	J1	25
4	Marron	477	873	NI	false	J2	26
1	Marron	639	857	CO	false	J0	27
3	Gris	872	663	AL	false	J1	28
1	Gris	801	861	PT	false	J1	29
5	Jaune	1069	819	TI	false	J2	30
2	Jaune	979	498	PT	false	J2	31

[ROUTES]
1	2	3	J0
1	2	4	J1
1	3	4	J2
1	2	5	J0
1	4	5	J2
1	6	4	J1
1	6	7	J0
1	7	4	J1
1	7	8	J2
1	8	5	J0
2	9	6	J1
1	9	10	J0
1	10	6	J2
1	11	7	J0
1	11	10	J1
1	12	15	J0
1	13	11	J1
1	13	7	J0
1	13	14	J0
1	14	15	J0
1	14	8	J1
1	16	12	J1
1	8	15	J2
2	16	17	J2
2	18	9	J2
1	18	19	J2
1	11	19	J0
2	2	21	J0
1	20	13	J0
2	21	16	J0
1	21	22	J1
1	22	23	J0
1	23	17	J1
1	24	25	J1
2	24	19	J2
1	25	26	J2
1	26	27	J0
2	25	20	J0
1	28	21	J0
2	28	22	J0
1	29	28	J1
2	29	27	J0
2	29	30	J2
1	31	30	J0
2	30	22	J1
2	31	23	J2
1	22	31	J2
1	1	15	J2
2	1	28	J1
1	1	20	J2
1	20	27	J0
